Species,alpha_D (log10),Emet (eV),#Temp (Met.Rate),p value (Met.Rate),Correlation coef. (r2),Vh (atm),Eo (eV),#Temp (Pcrit),p value (Pcrit),Correlation coefficient (r2),Phi_crit (histogram),Phi_crit (F1 score),Num. OBIS Occur.,FAS=MMR/RMR,Reference
    'Chironomus sp.',1.0593,0.42,70,0,0.7938,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Tátrai '82 Hybiol 96: 129-135'
    'Chromis atripectoralis',-3.1082,0.9914,32,0.002,0.7894,0.0085,0.6962,32,0.0154,0.3455,5.2,6.2,3489,7.35,"    'Gardiner et al., 2010'"
    'Chthalamus stellatus',0.8078,0.9175,12,0,0.9048,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Barnes & Barnes '69 JEMBE 4: 36-50'
    'Cirolana imposita',0.9297,1.5476,66,0,0.9394,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Shafir & Field '80 MEPS 3: 203-215'
    'Concholepas concholepas',1.2082,0.5863,182,0,0.7319,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Navarro & Torrijos '94 CBP 108A: 39-46'
    'Corophium curvispinum',1.1792,0.4011,80,0,0.7023,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Muskó ea '95 PArHybiol 42: 547-558'
    'Crangon crangon',1.6375,0.472,82,0,0.8219,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Van Donk & Wilde '81 JSR 15: 54-64'
    'Crassostrea gigas',0.7491,0.5443,3,0.0692,0.9728,0.0761,0.2151,3,0.0101,0.9911,2.4537,2.5228,2160,       NaN,    'Gerdes '83 Aquaculture 31: 221-231'
    'Crassostrea virginica',0.8999,0.5325,435,0,0.844,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Dame '72 MarBiol 17: 243-250'
    'Cyanea capillata',1.3933,0.7508,24,0,0.5484,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Larson '87 CBP 87A: 93-100'
    'Cyclopterus lumpus',0.8679,0.4128,2,       NaN,1,0.0818,0.187,2,       NaN,1,2.4518,3.1,21146,3,"    'Killen, S. S., Costa, I., Brown, J. A., & Gamperl, A. K. (2007). Little left i…'"
    'Cyprideis torosa',0.2371,0.4786,9,0,0.9316,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Herman & Heip '82 Oecologia 54: 300-303'
    'Cyprinis carpio',1.7386,0.4537,4,0.0545,0.9447,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Clarke and Johnson, 1999'"
    'Daphnia pulex',0.7353,0.4035,36,0,0.8752,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Goss & Bunting '80 CBP 66A: 651-658'
    'Dentex dentex',       NaN,       NaN,0,       NaN,0,0.0647,0.1396,8,0,0.7676,2.8249,2.848,272,       NaN,"    'Valverde et al., 2006'"
    'Diaptomus arcticus',1.097,0.4824,5,0,0.9947,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Comita '68 LimnOc 13: 51-57'
    'Diaptomus clavipes',1.1862,0.6594,4,0.0047,0.9911,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Comita '68 LimnOc 13: 51-57'
    'Diaptomus leptopus',1.1538,0.6291,4,0.0027,0.9938,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Comita '68 LimnOc 13: 51-57'
    'Diaptomus oregonensis',1.2455,0.5773,6,0.0003,0.9419,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Comita '68 LimnOc 13: 51-57'
    'Diaptomus siciloides',1.3611,0.7025,4,0.0309,0.9165,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Comita '68 LimnOc 13: 51-57'
    'Diplodus puntazzo',       NaN,       NaN,0,       NaN,0,0.0577,0.1985,9,0.0001,0.3483,2.3585,2.5,214,       NaN,"    'Cerezo and Garcia, 2004'"
    'Donax incarnatus',-0.4411,2.7598,38,0.1879,0.7374,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'McLusky & Stirling '75 CBP 51A: 943-947'
    'Donax serra',1.2525,0.9129,8,0.0002,0.9889,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Dye '79 CPB 63A: 405-409'
    'Donax sordidus',1.4085,0.4649,8,0,0.984,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Dye '79 CPB 63A: 405-409'
    'Donax vittatus',1.1574,0.6438,82,0,0.5166,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Ansell '73 JEMBE 11: 311-328'
    'Doryteuthis pealeii',       NaN,       NaN,1,       NaN,0,0.0465,0.3147,2,       NaN,1,3.0063,2.7233,18834,5.8462,    'Birk unpublished'
    'Dosidicus gigas',1.8525,0.5416,2,       NaN,1,0.0245,0.6175,2,       NaN,1,3.271,3.2,50,4.375,"    'Trueblood and Seibel, 2013'"
    'Dysidea avara',0.754,0.6511,12,0,0.9829,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Ribes '98 Ph.D. Univ. Barcelona, Spain'"
    'Elminius modestus',-0.2451,0.5746,21,0,0.6111,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Harms '87 HelgolWM 41: 45-67'
    'Eucidaris tribuloides',1.1113,0.299,21,0,0.555,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'McPherson '58 BiolBull 135: 308-321'
    'Eucyclops agilis',1.2821,0.6271,45,0,0.7045,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Laybourn-Parry & Tinson '85 Oecologia 65: 566-572'
    'Euphausia hanseni',0.8784,0.3995,166,0,0.5242,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Werner ea '12 AJMS 34: 391–399'
    'Euphausia superba',1.9439,0.9654,872,0,0.6491,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Rakusa-Suszcewski & Opalinski '78 PArHybiol 25: 633-641'
    'Eurythium limosum',0.3309,0.3843,65,0.0031,0.5481,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Koch '99 Ph.D. Thesis Univ. Bremen, Germany'"
    'Forskalia sp.',1.4646,1.3446,13,0.0248,0.8138,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Biggs '77 LimnOc 22: 108-117'
    'Funchalia villosa',0.8924,0.5997,2,       NaN,1,0.0387,0.1688,2,       NaN,1,3.4759,3.5,521,       NaN,    'Donnelly & Torres '88 MarBiol 97: 483-494'
    'Gadus Morhua',       NaN,       NaN,0,       NaN,0,0.058,1.1234,6,0.0047,0.9464,       NaN,       NaN,0,       NaN,"    'Schurmann and Stevenson, 1992'"
    'Gadus morhua',0.9482,0.519,3,0.0238,0.9897,0.0621,0.3472,3,       NaN,1,2.4,2.4,1108165,3.3,"    'Soofiani, N. M., & Priede, I. G. (1985). Aerobic metabolic scope and swimming …'"
    'Gadus ogac',1.1904,0.2011,2,       NaN,1,0.144,0.2474,2,       NaN,1,2.1097,1.8807,23202,2.5055,"    'Bushnell, P. G., Steffensen, J. F., Schurmann, H., & Jones, D. R. (1994). Exer…'"
    'Gammarus fossarum',1.3921,1.0065,158,0,0.6489,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Franke '77 ArHybiol 48: 369-411'
    'Gammarus pseudolimnaeus',       NaN,       NaN,0,       NaN,0,0.0456,0.7746,27,0,0.6502,       NaN,       NaN,0,       NaN,"    'Hoback and Barnhart, 1996'"
    'Gaussia princeps',-0.1355,0.1464,3,0.1062,0.4779,0.012,-0.1271,3,0.0087,0.9909,1.8196,1.8,37,       NaN,    'Childress '75 CBP 50A: 787-799'
    'Gennadas valens',0.7599,0.6964,2,       NaN,1,0.0372,0.2016,2,       NaN,1,3.0931,4.1985,702,       NaN,    'Donnelly & Torres '88 MarBiol 97: 483-494'
    'Gibberulus gibbosus',0.162,0.4918,2,       NaN,1,0.0523,0,2,       NaN,      -Inf,3.9362,4.0251,121,4.6207,"    'Lefevre et al., 2015'"
    'Gobiodon erythrospilus',0.3337,0.7242,4,0.0742,0.9418,0.0166,0.6257,4,0.1056,0.875,3.8799,3.6467,90,       NaN,    'Sorsen 2014'
    'Gobiodon histrio',-0.1525,1.2281,4,0.1502,0.9585,0.0096,0.844,4,0.175,0.8707,4.4437,4.0081,276,       NaN,    'Sorsen 2014'
    'Halocynthia papillosa',0.3278,0.8999,12,0,0.9284,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Ribes '98 Ph.D. Univ. Barcelona, Spain'"
    'Holothuria tubulosa',0.608,0.543,59,0,0.7547,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Coulon ea '92 MarEcol 13: 63-68'
    'Hyperiella antarctica',1.2886,0.5746,4,0.0215,0.9735,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Hirche '84 CBP 77A: 361-368'
    'Idotea balthica',0.7081,2.9525,144,0,0.8808,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Strong & Daborn '79 JEMBE 41'
    'Lensia canoidea',0.9771,1.069,6,0.0032,0.9968,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Ivleva & Litovchenko '78 BiolMorjaKiev 46: 3-25'
    'Lepas fascicularis',0.8176,1.6749,24,0.0034,0.8148,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Ivleva '80 IRGHybiol 65: 1-47'
    'Littorina obtusata',1.25,0.5198,26,0,0.8023,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'McMahon ea '95 Hybiol 309: 89-100'
    'Littorina saxatilis',1.063,0.8685,31,0,0.8522,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'McMahon ea '95 Hybiol 309: 89-100'
    'Liza dumerili',1.8912,0.854,4,0.016,0.9991,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Clarke and Johnson, 1999'"
    'Loligo opalescens',1.4154,0.6422,5,0,0.9925,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'O'Dor '82 CanJFAS 39: 580-587'
    'Longipedia helgolandica',0.7787,0.8015,4,0.0159,0.9833,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Coull & Vernberg '70 MarBiol 5: 341-344'
    'Lophelia pertusa',       NaN,       NaN,0,       NaN,0,0.1004,0.4226,2,       NaN,1,1.5454,1.5478,6366,       NaN,"    'Dodds et al., 2007'"
    'Lottia kogamogai',0.6749,0.6317,77,0,0.8881,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Niu ea '99 BullFacFishHokkaido 50: 61-70'
    'Maja brachydactyla',       NaN,       NaN,0,       NaN,0,0.0599,0.3637,14,0,0.4057,3.3788,3.8961,50,       NaN,    'Cerezo Valverde et al 2012'
    'Melanostigma pammelas',0.9456,1.6821,4,0.0053,0.9969,0.0396,0.8614,4,0.0912,0.9151,1.0798 (0.8228),1.6,178,       NaN,"    'Belman and Gordon, 1979'"
    'Mnemiopsis leidyi',-0.8834,0.5569,141,0,0.6856,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Anninskii & Abolmasova '00 Oceanology 40: 729-735'
    'Modiola adriatica',0.6859,0.8008,5,0,0.9949,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Ivleva '73 PArHybiol 20: 283-300'
    'Morone saxatilis',0.9754,0.5787,2,       NaN,1,0.0419,0.3193,2,       NaN,1,2.8,4.3588,3141,4.5,"    'Neumann, D. A., O'Connor, J. M., & Sherk, J. A. (1981). Oxygen consumption of …'"
    'Mulinia lateralis',1.2645,0.5281,209,0,0.6215,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Kennedy & Mihursky '72 ChesapSci 13: 1-22'
    'Mya arenaria',1.2034,0.377,202,0,0.8106,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Kennedy & Mihursky '72 ChesapSci 13: 1-22'
    'Mysis relicta',1.2206,0.3945,149,0,0.7227,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Foulds & Roff '76 CanJZool 54: 377-385'
    'Mytilus sp.',0.694,0.2163,3,0.0892,0.7394,0.0602,0.1687,3,0.0311,0.8923,       NaN,       NaN,0,       NaN,"    'Artigaud et al., 2014'"
    'Nauticaris marionis',2.0404,1.6167,18,0.001,0.6108,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Pakhomov ea '99 PolBiol 21: 112-121'
    'Nautilus pompilius',0.3767,0.6745,3,0.0097,0.9991,0.0389,0.5606,3,0.0178,0.9926,2.2624,2.4,10987,3.8165,    'Boutilier ea '96 Nature 380: 534-536'
    'Nematoscelis megalops',0.7949,0.5854,75,0,0.6697,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Werner ea '12 AJMS 34: 391–399'
    'Neocalanus sp.',1.2904,0.5387,21,0,0.8747,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Vidal & Whitledge '82 JPlRes 4: 77-84'
    'Nepa rubra',0.9667,1.1874,21,0,0.9021,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Waitzbauer '78 Oecologia 33: 235-253'
    'Nephrops norvegicus',0.7159,0.934,18,0,0.6813,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Bridges & Brand '80 MEPS 2: 133-141'
    'Nereis succinea',0.6559,0.622,57,0,0.8961,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Cammen '80 MarBiol 61: 9-20'
    'Nerita articulata',0.5983,0.3133,38,0,0.5301,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Houlihan '79 JEMBE 41: 143-161'
    'Notostomus elegans',1.1599,1.1179,2,       NaN,1,0.041,0.4381,2,       NaN,1,2.7951,2.3034,110,       NaN,    'Cowles ea '91 MarBiol 110: 75-83'
    'Notostomus gibbosus',0.7727,1.3287,2,       NaN,1,0.071,0.9198,2,       NaN,1,2,2,93,       NaN,"    'Cowles et al., 1991'"
    'Octopus briareus',0.7142,0.6097,15,0.0001,0.7601,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Borer & Lane '71 JEMBE 7: 263-269'
    'Octopus vulgaris',       NaN,       NaN,0,       NaN,0,0.0542,0.3296,22,0,0.1602,2.2082,2.4722,3446,       NaN,    'Parra ea '00 JMBAssUK 80: 557-558'
    'Oikopleura dioica',1.8789,0.5762,24,0,0.8875,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Gorsky ea '87 MarBiol 94: 191-201'
    'Ophiothrix fragilis',1.1574,0.5677,22,0,0.7276,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Migné & Davolt '97 MarBiol 127: 699-704'
    'Oplophorus gracilirostris',1.3492,0.3578,3,0.0903,0.8161,0.0576,0.1446,3,0.0155,0.978,2.0488,1.75,204,       NaN,    'Donnelly & Torres '88 MarBiol 97: 483-494'
    'Oplophorus spinosus',1.2608,0.7308,3,0.1539,0.878,0.042,0.1902,3,0.3121,0.1806,2.4974,2.4,1007,       NaN,    'Cowles ea '91 MarBiol 110: 75-83'
    'Orchomene plebs',1.3008,0.6939,71,0,0.8365,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Rakusa-Suszcewski & Lach '91 Hybiol 223: 177-180'
    'Oreochromis niloticus',       NaN,       NaN,0,       NaN,0,0.0195,0.2732,4,0.0369,0.715,       NaN,       NaN,145,3.4803,"    'Farmer, G. J., & Beamish, F. W. H. (1969). Oxygen consumption of Tilapia nilot…'"
    'Ostrea edulis',2.0963,0.5855,53,0,0.7447,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Rodhouse '78 JEMBE 34: 1-22'
    'Ovalipes punctatus',0.7833,0.4871,57,0,0.8179,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Du Preez '83 CBP 75A: 353-362'
    'Pachygrapsus gracilis',0.5255,0.4613,55,0,0.7762,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,"    'Koch '99 Ph.D. Thesis Univ. Bremen, Germany'"
    'Palaemon pacificus',1.2854,0.743,103,0,0.8344,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Emmerson '85 CBP 81A: 71-78'
    'Palaemonetes pugio',       NaN,       NaN,0,       NaN,0,0.0069,1.3483,2,       NaN,1,2.5853,2.1868,1041,       NaN,"    'Gardiner et al., 2010'"
    'Palaemonetes vulgaris',       NaN,       NaN,0,       NaN,0,0.0193,0.4939,3,0.2856,0.4762,4.5915,4.1479,5390,       NaN,    'Miller et al 2002'
    'Pandalus borealis',-0.2595,0.576,4,0.0295,0.9982,0.1003,0.9181,4,0.0575,0.998,3.8147,3.9,16951,       NaN,    'Schmid '96 BPF 202: 1-92'
    'Pandalus platyceros',       NaN,       NaN,0,       NaN,0,0.0661,0.1536,2,       NaN,1,1.5563,1.2635,4095,       NaN,    'Childress ea '90 DSR 37: 929-949'
    'Panulirus cygnus',0.5621,0.6761,3,0.2577,0.9417,0.0482,0.3389,3,0.032,0.9805,2.8988,2.8725,9,       NaN,    'Crear and Forteath 2001'
    'Panulirus interruptus',       NaN,       NaN,0,       NaN,0,0.0346,0.572,2,       NaN,1,3.9916,3.7,1140,       NaN,    'Ocampo et al 2003'
    'Panulirus interuptus',0.9263,0.601,34,0,0.9975,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Winget '69 BiolBull 136: 301-312'
    'Parabramis pekinensis',0.8497,0.3533,3,0.1502,0.8923,0.0327,-0.0912,3,0.0145,0.9691,       NaN,       NaN,0,       NaN,    'Winget '69 BiolBull 136: 301-312'
    'Paralichthys dentatus',0.5509,0.6878,2,       NaN,1,0.0399,0.3537,2,       NaN,1,2.9714,3.353,15971,       NaN,"    'Caposella et al., 2012'"
    'Paramoera walkeri',1.2257,1.3014,85,0.0037,0.6793,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Rakusa-Suszcewski & Klekowski '73 PArHybiol 20: 475-488'
    'Patinopecten yessoensis',1.2744,0.4177,45,0,0.9444,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Fuji & Hashizume '74 BullFacFishHokkaido 25: 7-19'
    'Pecten maximus',0.6286,0.132,3,0.0975,0.4417,0.0468,0.304,3,0.029,0.9688,4.3829,4.4765,1269,       NaN,"    'Artigaud et al., 2014'"
    'Pectinaria californiensis',1.2127,0.5285,56,0,0.8685,       NaN,       NaN,0,       NaN,0,       NaN,       NaN,0,       NaN,    'Nichols '75 EcolMonogr 45: 57-82'
